date | value
2001-42-42

1995-01-14 | 2
2012-01-41 | 21
2012-15-05 | 1
2010-8-02 | 2
2010-08-2 | 2
201-08-02 | 2
20-08-02 | 2
2-08-02 | 2
08-02 | 2
20150802 | 2
2015-m8-02 | 2
2015-02-28p| 1
2015-02-28| 2
2015-02-28  | 2
2015-02-29 | 1
2015-02-28 |   2
2013-02-18 | 1i
2013-02-22 | 1...5.6
2013-02-19 | 1000.01
2012-01-11 | 2147483648
2015-05-16 | 25 84 75
2015-05-16 | 5 | 5

2016-02-29 | 1
2020-02-29 | 1
2104-02-29 | 1
2400-02-29 | 1
2200-02-29 | 1
2100-02-29 | 1
2019-02-29 | 1

2016-02-28 | 1
2011-02-21 | 1

2022-03-25 | 1
2022-03-29 | 1

2022-03-24 | 1
2022-03-25 | 1
2022-03-26 | 1
2022-03-27 | 1
2022-03-28 | 1
2022-03-29 | 1
2025-03-29 | 1
